agent,grid,success_mean,success_std,reward_mean,reward_std,length_mean,length_std,steps_mean,steps_std
dqn,fishbone,1.0,0.0,-36.86666666666667,3.240164604872208,39.199999999999996,0.8717797887081361,53178.333333333336,40911.00579387735
dqn,flying_v,0.6666666666666666,0.5163977794943223,-1812.6499999999996,2671.435015679775,1716.05,2544.216551121386,377987.1666666667,283242.83829280955
dqn,half_aisles,0.7000000000000001,0.4690415759823429,-1953.3166666666666,2760.4528928541176,1621.0166666666667,2388.624760331071,421384.0,88255.92941440252
ppo,fishbone,0.0,0.0,-23596.13333333333,67.95512244611595,5000.0,0.0,89601.5,24302.58001735618
ppo,flying_v,0.05000000000000001,0.05477225575051662,-22479.966666666664,1658.992536049113,4873.583333333333,142.2835818591401,196836.5,152799.08647076396
ppo,half_aisles,0.15,0.2258317958127243,-18995.5,5720.893319054289,4663.95,610.9954918000625,124089.0,86440.63637896242
